Age,Occupation,Risk Tolerance,Investment Goals,Income Level,Address,Account Balance,Deposits,Withdrawals,Transfers,International Transfers,Investments,Loan Amount,Loan Purpose,Employment Status,Loan Term (Months),Interest Rate,Loan Status,Transaction Description
40,Lawyer,High,Wealth Preservation,$46044.94,"7168 Moody Meadow
Hernandezshire, PW 06016",$44653.26,$9156.01,$9327.70,$3647.92,$82.80,$8729.30,$27010.93,Medical Expenses,Retired,36,11.94%,pending,"Electronics transaction of $706.18 at Sanders, Roberts and Hughes"
30,Teacher,Low,Wealth Preservation,$57169.50,"50001 Hector Square
West Luisfurt, MA 51935",$29175.47,$5933.22,$8671.60,$6729.86,$819.69,$4545.18,$31266.97,Auto Purchase,Retired,36,8.08%,approved,Transaction at Evans-Smith for $2250.03
37,Teacher,Low,Speculation,$71760.86,"997 James Isle
North Rebeccafurt, RI 13366",$86141.59,$22583.11,$16468.58,$6032.53,$1526.33,$8251.45,$41260.58,Auto Purchase,Employed,12,13.07%,pending,Purchase at Taylor-Gutierrez for $615.85 on 2024-02-21
27,Student,Medium,Speculation,$-25488.15,"1607 Joshua Camp Apt. 634
Conleymouth, CT 66479",$1000.00,$299.47,$289.09,$109.83,$3.51,$195.73,$5000.00,Small Business,Retired,60,6.73%,approved,Travel transaction of $4852.39 at Jones-Russell
36,Engineer,Low,Income Generation,$106777.95,"96690 Campbell Common
Dwaynetown, MI 71857",$77918.97,$13853.25,$22699.32,$12189.32,$2152.51,$9725.21,$50000.00,Medical Expenses,Employed,24,10.60%,approved,"Purchase at Jensen, Porter and Webb for $562.22 on 2024-01-26"
77,Doctor,Low,Income Generation,$59157.22,"23020 Jackson View Apt. 985
Haydenstad, MO 79409",$61520.73,$22052.86,$16970.19,$10103.04,$1184.45,$4842.19,$50000.00,Small Business,Retired,24,12.57%,pending,$2275.37 debited for Mueller LLC purchase
70,Student,High,Speculation,$120054.43,"997 Hernandez Parkways Apt. 451
Amyland, MP 62662",$100000.00,$23213.91,$27510.89,$11522.77,$956.09,$20114.44,$50000.00,Medical Expenses,Employed,24,9.90%,approved,"Transaction at Young, Martin and Henry for $1560.07"
45,Retiree,Low,Income Generation,$65951.25,"14424 Donna Fields
Weissside, WY 74719",$44295.27,$14801.56,$2304.52,$8689.94,$932.66,$3314.10,$34650.35,Debt Consolidation,Self-Employed,48,11.13%,pending,Payment of $719.55 at Lam-Gray
56,Retiree,Medium,Income Generation,$9928.91,"8023 Daniel Inlet
West Donna, GU 94735",$19782.88,$6407.61,$4823.80,$1195.18,$165.64,$2061.49,$8652.23,Home Improvement,Employed,48,9.12%,pending,"$2334.71 debited for Goodman, Meza and Fox purchase"
61,Retiree,Low,Wealth Preservation,$93274.16,"9544 Alexander Islands Apt. 395
South Oscarstad, SC 94295",$48927.60,$22156.23,$10019.27,$11578.01,$1080.14,$5556.28,$17751.38,Auto Purchase,Employed,12,8.79%,pending,Transaction at Patterson-Brown for $665.66
